date,adj_close,close,high,low,open,volume,daily_return,weekly_return,ma_7,ma_21,ma_cross,dist_from_ma21,daily_range,rsi_14,macd,macd_signal,macd_hist,bb_position,volatility_7,volatility_20,volume_change,volume_ma20,volume_ratio,lag_return_1,lag_return_3,lag_return_5,month,quarter,season_num,season,is_earnings_week,vix,is_major_event,target_direction,target_return
2015-02-18,13.630666732788086,13.630666732788086,13.744667053222656,13.506667137145996,13.611332893371582,40704000,0.0005383231478952588,-0.05469508888595964,13.92409542628697,13.842349279494513,0.08174614679245629,-0.015292385882792685,0.01746062175404522,43.82550843291399,-0.05670910834694709,-0.021673177607311182,-0.03503593073963591,0.3637332512146453,0.018160238349318694,0.021856526212482463,-0.31812242436425775,70231575.0,0.5795683778984025,0.0028462803614237586,-0.04661658846022321,-0.005471765552931385,2,1,0,Winter,0,15.449999809265137,0,1,-0.0034236842491913756
2015-02-19,14.11400032043457,14.11400032043457,14.162667274475098,13.583333015441895,13.666666984558105,77311500,0.035459277020091884,-0.005122212258985237,13.869143077305385,13.905142965770903,-0.03599988846551838,0.015020151549523339,0.04104677950123253,52.33568857193281,-0.03547948060157324,-0.024434438206163596,-0.011045042395409647,0.5936119948669312,0.02469536188060193,0.02255563818870105,0.8993587853773586,70982400.0,1.089164356234785,0.0005383231478952588,0.004386864226918918,-0.016135698387415576,2,1,0,Winter,0,15.289999961853027,0,1,-0.021349966032870343
2015-02-20,14.473999977111816,14.473999977111816,14.506667137145996,13.987333297729492,14.052000045776367,89731500,0.025506564298148016,0.07013997690084994,13.876952580043248,13.970349311828613,-0.093396731785365,0.03605140100947691,0.03588046429720482,57.50016861708238,0.010275664524771244,-0.01749241765997663,0.027768082184747873,0.7654892477135605,0.026968904005915388,0.022546343959655834,0.16064880386488434,72381300.0,1.239705559308827,0.035459277020091884,0.0028462803614237586,-0.04661658846022321,2,1,0,Winter,0,14.300000190734863,0,0,-0.06342408613404059
2015-02-23,13.822667121887207,13.822667121887207,14.546667098999023,13.755332946777344,14.37733268737793,127497000,-0.04500019733692018,0.017519745789198238,13.824952534266881,13.988508088248116,-0.16355555398123478,-0.011855514920868043,0.057249020412902696,47.47705535429402,-0.005951565374498813,-0.015184247202881066,0.009232681828382253,0.38747826879656927,0.03177767407276863,0.02505705476952611,0.4208722689356581,76177200.0,1.6736897654416283,0.025506564298148016,0.0005383231478952588,0.004386864226918918,2,1,0,Winter,0,14.5600004196167,0,0,-0.0482782773176179
2015-02-24,13.607333183288574,13.607333183288574,13.81933307647705,13.446666717529297,13.81933307647705,99054000,-0.015578320500655551,-0.0011744405009415093,13.836666788373675,13.997460456121535,-0.16079366774786052,-0.027871289513973666,0.027387170867942925,44.70270379497256,-0.03577501905416547,-0.019302401573137947,-0.016472617481027522,0.27070745618669956,0.02643789341686842,0.024656276259191028,-0.22308760206122502,78704025.0,1.2585633326885124,-0.04500019733692018,0.035459277020091884,0.0028462803614237586,2,1,0,Winter,0,13.6899995803833,0,0,-0.022291897933625415
2015-02-25,13.583999633789062,13.583999633789062,13.809332847595215,13.505332946777344,13.662667274475098,58642500,-0.001714777553045277,-0.003423684249191372,13.836571420942034,13.988603274027506,-0.15203185308547162,-0.028923805494553326,0.02237926303102194,44.39993365117269,-0.06059464603900366,-0.027560850466311092,-0.03303379557269257,0.2647407275446744,0.02641456035616726,0.024651906215489107,-0.40797443818523227,79550400.0,0.7371741688288179,-0.015578320500655551,0.025506564298148016,0.0005383231478952588,2,1,0,Winter,0,13.84000015258789,0,1,-0.006478161531540336
2015-02-26,13.812666893005371,13.812666893005371,14.072667121887207,13.481332778930664,13.600000381469727,97093500,0.016833573717678796,-0.021349966032870316,13.863619123186384,13.992444537934803,-0.12882541474841958,-0.012848194212386437,0.04281101886674688,48.109116010294855,-0.06110842261626104,-0.034270364896301087,-0.02683805771995995,0.3707460315820222,0.027158398207707875,0.023736658875469396,0.6556848701880036,82042875.0,1.1834482884711195,-0.001714777553045277,-0.04500019733692018,0.035459277020091884,2,1,0,Winter,0,13.90999984741211,0,0,-0.03166181187576513
2015-02-27,13.555999755859375,13.555999755859375,13.903332710266113,13.520000457763672,13.793333053588867,58231500,-0.0185820116516362,-0.0634240861340406,13.852952412196569,14.005047707330613,-0.1520952951340444,-0.032063293239350726,0.028277682163335233,44.519070702942265,-0.08128943318141424,-0.04367417855332372,-0.03761525462809052,0.2240510328531746,0.02830163780559997,0.02327282355969661,-0.40025336402539824,82293375.0,0.7076086015429554,0.016833573717678796,-0.015578320500655551,0.025506564298148016,2,1,0,Winter,0,13.34000015258789,0,0,-0.04652307053306709
2015-03-02,13.155332565307617,13.155332565307617,13.555999755859375,13.055333137512207,13.513333320617676,118831500,-0.02955644716492234,-0.04827827731761791,13.71599987574986,13.980063529241653,-0.2640636534917924,-0.058993363099457456,0.038058073854209756,39.55668375907271,-0.12813644602511864,-0.06056663204768271,-0.06756981397743594,0.03307642465235213,0.025037034053289425,0.02413929432007138,1.040673862084954,85979700.0,1.3820878649262558,-0.0185820116516362,-0.001714777553045277,-0.04500019733692018,3,1,1,Spring,0,13.039999961853027,0,1,-0.03268631555810539
2015-03-03,13.303999900817871,13.303999900817871,13.349332809448242,13.021332740783691,13.120667457580566,66484500,0.011300918070464405,-0.022291897933625404,13.548857007707868,13.96723815373012,-0.4183811460222522,-0.04748528274611852,0.024654244671513174,42.134095154163745,-0.15152019916936688,-0.07875734547201954,-0.07276285369734733,0.15474895644430892,0.022109758348841723,0.022717024845416604,-0.4405145100415294,86192025.0,0.7713532661519439,-0.02955644716492234,0.016833573717678796,-0.015578320500655551,3,1,1,Spring,0,13.859999656677246,0,1,-0.046301877635928516
