date,open,high,low,close,volume,vwap
2024-12-17 05:00:00,604.19,605.17,602.885,604.29,55769545.0,604.3796
2024-12-18 05:00:00,603.98,606.405,585.89,586.28,107247211.0,595.1042
2024-12-19 05:00:00,591.36,593.0,585.85,586.1,85598152.0,588.2154
2024-12-20 05:00:00,581.77,595.75,580.91,591.15,124674174.0,588.988
2024-12-23 05:00:00,590.89,595.3,587.661,594.69,57529328.0,592.8738
2024-12-24 05:00:00,596.06,601.34,595.47,601.3,33157697.0,599.3108
2024-12-26 05:00:00,599.5,602.48,598.0825,601.34,41329191.0,601.1002
2024-12-27 05:00:00,597.54,597.7761,590.7647,595.01,64759310.0,594.6516
2024-12-30 05:00:00,587.89,591.74,584.41,588.22,56155557.0,588.8633
2024-12-31 05:00:00,589.905,590.6399,584.42,586.08,57052654.0,586.7143
2025-01-02 05:00:00,589.39,591.13,580.5,584.64,50079975.0,585.2139
2025-01-03 05:00:00,587.53,592.6,586.43,591.95,37868659.0,590.2759
2025-01-06 05:00:00,596.27,599.7,593.6,595.36,47123442.0,596.1425
2025-01-07 05:00:00,597.42,597.75,586.78,588.63,60205552.0,590.879
2025-01-08 05:00:00,588.7,590.5799,585.195,589.49,47222672.0,588.3667
2025-01-10 05:00:00,585.88,585.95,578.55,580.49,73060046.0,581.9833
2025-01-13 05:00:00,575.77,581.75,575.35,581.39,47770060.0,579.1385
2025-01-14 05:00:00,584.36,585.0,578.35,582.19,48377580.0,581.8874
2025-01-15 05:00:00,590.325,593.94,589.195,592.78,56885159.0,591.4165
2025-01-16 05:00:00,594.175,594.35,590.93,591.64,43292162.0,592.4631
2025-01-17 05:00:00,596.96,599.36,595.61,597.58,55360878.0,597.5839
2025-01-21 05:00:00,600.67,603.06,598.67,603.05,42487853.0,601.4494
2025-01-22 05:00:00,605.92,607.82,605.36,606.44,48195973.0,606.4754
2025-01-23 05:00:00,605.8,609.75,605.52,609.75,40935363.0,608.0261
2025-01-24 05:00:00,609.81,610.78,606.8,607.97,34604693.0,608.5094
2025-01-27 05:00:00,594.81,599.69,594.64,599.37,70298125.0,598.6772
2025-01-28 05:00:00,600.62,605.37,597.25,604.52,44433322.0,602.7245
2025-01-29 05:00:00,603.72,604.13,599.22,601.81,37155029.0,602.0789
2025-01-30 05:00:00,603.96,606.6,600.715,605.04,39092005.0,604.0502
2025-01-31 05:00:00,607.5,609.96,601.05,601.82,66644817.0,604.5226
2025-02-03 05:00:00,592.67,600.29,590.49,597.77,65817248.0,596.812
2025-02-04 05:00:00,597.83,602.3,597.28,601.78,33346815.0,600.6073
2025-02-05 05:00:00,600.64,604.37,598.58,604.22,30623149.0,602.366
2025-02-06 05:00:00,605.99,606.4525,602.63,606.32,35771503.0,605.3225
2025-02-07 05:00:00,606.89,608.13,600.05,600.77,50750516.0,602.8983
2025-02-10 05:00:00,604.03,605.4999,602.74,604.85,26045714.0,604.2397
2025-02-11 05:00:00,602.55,605.86,602.43,605.31,30056740.0,604.5604
2025-02-12 05:00:00,599.2,604.55,598.51,603.36,45076076.0,601.9544
2025-02-13 05:00:00,604.48,609.94,603.2,609.73,40768881.0,607.4617
2025-02-14 05:00:00,609.94,610.99,609.07,609.7,26910448.0,610.0263
2025-02-18 05:00:00,610.88,611.49,608.38,611.49,26708205.0,610.1853
2025-02-19 05:00:00,610.08,613.23,609.56,612.93,31011072.0,611.643
2025-02-20 05:00:00,611.54,611.684,607.02,610.38,36553902.0,609.4303
2025-02-21 05:00:00,610.16,610.3,599.47,599.94,76448318.0,603.6819
2025-02-24 05:00:00,602.02,603.03,596.49,597.21,50737213.0,599.0337
2025-02-25 05:00:00,597.15,597.89,589.56,594.24,56911072.0,594.1288
2025-02-26 05:00:00,595.93,599.58,591.8556,594.54,43321578.0,595.5992
2025-02-27 05:00:00,596.85,598.02,584.65,585.05,74182664.0,590.3902
2025-02-28 05:00:00,585.56,594.72,582.44,594.18,88487668.0,588.2902
2025-03-03 05:00:00,596.18,597.34,579.9,583.77,74249199.0,587.977
2025-03-04 05:00:00,579.71,585.39,572.25,576.86,109632212.0,578.3233
2025-03-05 05:00:00,576.69,584.88,573.0795,583.06,70927248.0,579.8337
2025-03-06 05:00:00,575.48,580.1736,570.12,572.71,80069568.0,574.5259
2025-03-07 05:00:00,570.9,577.39,565.63,575.92,80415816.0,572.599
2025-03-10 04:00:00,567.59,569.54,555.59,560.58,98286124.0,563.482
2025-03-11 04:00:00,559.4,564.02,552.02,555.92,87997244.0,557.6355
2025-03-12 04:00:00,562.17,563.11,553.69,558.87,69547267.0,559.4649
2025-03-13 04:00:00,558.49,559.105,549.68,551.42,73979414.0,553.5289
2025-03-14 04:00:00,556.11,563.83,551.4917,562.81,62655340.0,559.6851
2025-03-17 04:00:00,562.79,569.71,562.35,567.15,49008709.0,566.1538
2025-03-18 04:00:00,564.8,565.02,559.06,561.02,64791422.0,561.5366
2025-03-19 04:00:00,562.83,570.95,561.63,567.13,66540485.0,566.0097
2025-03-20 04:00:00,563.33,570.57,562.6012,565.49,62933195.0,566.3679
2025-03-21 04:00:00,559.28,564.89,558.03,563.98,83760964.0,562.1239
2025-03-24 04:00:00,570.8,575.15,570.2,574.08,58739933.0,573.0181
2025-03-25 04:00:00,575.3,576.41,573.69,575.46,38355735.0,574.9591
2025-03-26 04:00:00,575.19,576.33,567.19,568.59,52228898.0,570.5743
2025-03-27 04:00:00,567.18,570.9,564.94,567.08,41925848.0,568.1556
2025-03-28 04:00:00,565.53,566.2675,555.07,555.66,71628953.0,558.2611
2025-03-31 04:00:00,549.83,560.7112,546.87,559.39,95128213.0,555.9091
2025-04-01 04:00:00,557.45,562.94,553.68,560.97,54576641.0,559.1036
2025-04-02 04:00:00,555.05,567.42,554.81,564.52,76007044.0,560.9113
2025-04-03 04:00:00,545.11,547.97,536.7,536.7,125426398.0,543.254
2025-04-04 04:00:00,523.67,525.87,505.06,505.28,217902831.0,514.9711
